hours,remote,education,seniority,country,job_published_at,y_pred,comp_dol
Full-Time,Unclear,Unclear,Manager,United States,2024-03-26,0.12233765098215377,-0.9175695020229816
Part-Time,Unclear,High School,Unclear Seniority,United States,2024-03-29,-0.9137027807585573,-0.9922722391996684
Full-Time,Unclear,Unclear,Senior IC,United Kingdom,2024-02-22,-0.6531176460503587,-1.4074040230420242
Full-Time,Unclear,High School,Intern,United States,2024-01-26,-0.5641020366592955,-0.8523794729511913
Full-Time,Unclear,Unclear,Unclear Seniority,United States,2024-01-31,-0.07582341830059793,-0.0011319903292082538
Full-Time,false,Bachelors,Unclear Seniority,United Kingdom,2024-03-28,-0.8226510165585786,-1.0045828026295345
Full-Time,Unclear,Unclear,Unclear Seniority,United States,2024-02-09,-0.07582341830059793,-0.13892636508395817
Full-Time,Unclear,Unclear,Unclear Seniority,United States,2024-03-15,-0.07582341830059793,-0.08296925858456734
Full-Time,Unclear,Bachelors,Unclear Seniority,United States,2024-01-11,0.24397590878850628,-0.2476230444590249
Full-Time,Unclear,Some High School,Unclear Seniority,United States,2024-02-08,-0.45371502158140514,-0.8154477826615933
Full-Time,Unclear,Bachelors,Unclear Seniority,Singapore,2024-03-01,-0.10748940355412806,-0.050779933070792774
Full-Time,true,Unclear,Senior IC,United States,2024-03-15,0.9183892236139644,0.47660180640934097
Full-Time,Unclear,Bachelors,Unclear Seniority,United States,2024-03-04,0.24397590878850628,0.16184308235026754
Full-Time,Unclear,Bachelors,Unclear Seniority,United States,2024-01-17,0.24397590878850628,0.6234892109702419
Unclear,Unclear,Unclear,Unclear Seniority,France,2024-02-26,-0.00746719179302945,-0.5026475573299986
Full-Time,true,Unclear,Unclear Seniority,India,2024-02-15,-0.17490944343303624,0.10494869431701193
Full-Time,Unclear,Unclear,Unclear Seniority,United Kingdom,2024-03-22,-0.8197955388977547,-1.4049558996326759
Full-Time,false,Bachelors,Junior IC,United States,2024-01-25,-0.44624985074356055,-1.0045828026295345
Full-Time,Unclear,Bachelors,Unclear Seniority,United States,2024-03-22,0.24397590878850628,0.8787935093737126
Full-Time,Unclear,Unclear,Unclear Seniority,India,2023-12-01,-0.22999433144176917,-0.050779933070792774
Full-Time,Unclear,Bachelors,Unclear Seniority,United States,2024-03-28,0.24397590878850628,0.09574375029786213
Full-Time,Unclear,Unclear,Staff IC,United States,2024-03-03,1.0323705659496922,0.2317894654745061
Full-Time,Unclear,Bachelors,Staff IC,United States,2024-01-30,0.853143746773787,0.5829203087581836
Full-Time,true,Unclear,Senior IC,United States,2024-02-22,0.9183892236139644,0.616494572657818
