hours,remote,education,seniority,country,job_published_at,y_pred,comp_dol
Unclear,Unclear,Bachelors,Unclear Seniority,United States,2023-03-07,-0.03814437915526171,0.8271684366309576
Unclear,true,Unclear,Unclear Seniority,United States,2023-04-05,0.9373660026560691,1.0972417447291523
Full-Time,true,Masters,Unclear Seniority,United States,2023-04-25,1.1070992535918718,0.5412084633505163
Full-Time,Unclear,Bachelors,IC,,2023-03-21,-0.3003466502302892,-0.9680247289629242
Full-Time,Unclear,High School,Unclear Seniority,United States,2023-05-08,-0.8468437669078466,-1.0824087182751008
Unclear,false,Unclear,Unclear Seniority,United States,2023-05-31,0.46524313023837727,0.16588599841993695
Full-Time,false,Unclear,Unclear Seniority,United States,2023-03-06,0.14906280658454432,1.414975048374087
Unclear,Unclear,Bachelors,Senior IC,Australia,2023-03-17,0.2633240391424057,-0.014824818028119732
Full-Time,Unclear,Doctorate,Senior IC,United States,2023-04-16,0.8622025212485231,1.494408374285321
Full-Time,Unclear,Bachelors,Unclear Seniority,United States,2023-04-25,0.24397590878850628,0.06460850788311398
Unclear,Unclear,Bachelors,IC,United States,2023-05-04,-0.16758737617286013,-1.1268913807853917
Full-Time,Unclear,Bachelors,Senior IC,United States,2023-03-02,0.4401317614849217,0.7000751151729837
Unclear,true,Masters,Senior IC,,2023-05-27,0.9496174293777938,-0.33915108772368696
Unclear,Unclear,Bachelors,Manager,United States,2023-05-15,0.3538840425957872,1.173577170929848
Full-Time,true,Unclear,Senior IC,United States,2023-04-25,0.9183892236139644,0.5968117914883798
Full-Time,Unclear,Bachelors,Unclear Seniority,United States,2023-04-25,0.24397590878850628,0.15833983245836977
Full-Time,Unclear,Unclear,Senior IC,United States,2023-04-05,0.4376022631939808,0.4300018070747891
Full-Time,Unclear,Unclear,Manager,United States,2023-03-27,0.12233765098215377,-1.0531772543397668
Full-Time,Unclear,Unclear,Staff IC,India,2023-02-02,0.3568023486598429,0.021730398556230022
Full-Time,true,Bachelors,Unclear Seniority,,2023-04-26,0.2464566751969823,0.2880067936758677
Full-Time,Unclear,High School,Manager,United States,2023-04-22,-0.7223608559725008,-0.6649071572856564
Full-Time,Unclear,Unclear,Manager,United States,2023-04-27,0.12233765098215377,-0.14072663959742518
Contract,Unclear,Unclear,IC,United States,2023-05-15,-0.09406453361246009,0.46982967668668163
Full-Time,Unclear,Unclear,IC,United States,2023-04-25,0.28533417927153853,0.12815516861210094
Unclear,Unclear,Unclear,Unclear Seniority,United States,2023-03-31,0.06996487757964275,0.021730398556230022
Full-Time,Unclear,Bachelors,Unclear Seniority,United States,2023-02-14,0.24397590878850628,-0.2531247957618209
Full-Time,Unclear,Bachelors,Unclear Seniority,United States,2023-05-15,0.24397590878850628,0.8271684366309576
Full-Time,Unclear,High School,Unclear Seniority,United States,2023-03-31,-0.8468437669078466,-0.2930003253692602
Full-Time,Unclear,Bachelors,Junior IC,United States,2023-05-26,-0.30723990754398345,-0.4119914475842883
Full-Time,false,Unclear,IC,United States,2023-03-21,0.3982424474783127,-0.5469486683074744
Contract,Unclear,Bachelors,Unclear Seniority,United States,2023-03-09,0.1953811240990202,0.7000751151729837
Contract,Unclear,Unclear,Senior IC,United States,2023-05-13,-0.06073980641441018,0.021730398556230022
Full-Time,Unclear,Unclear,Unclear Seniority,United States,2023-04-21,-0.07582341830059793,0.2814932609511465
Full-Time,true,Unclear,Unclear Seniority,United States,2023-05-08,0.4191554814381107,1.6929916890634051
Part-Time,Unclear,High School,Unclear Seniority,United States,2023-05-17,-0.9137027807585573,-0.8301284751810225
Full-Time,Unclear,Bachelors,Manager,United States,2023-04-12,0.4020596103647615,-0.4040481149931649
Unclear,false,Unclear,Unclear Seniority,Brazil,2023-04-27,-0.1508661344541553,-1.3436172672016018
Full-Time,Unclear,Bachelors,Unclear Seniority,United States,2023-05-10,0.24397590878850628,-0.5708580994067557
